iter	RMSE
0	0.9683980103
1	0.9601319797
2	0.9519643767
3	0.94385302
4	0.9358722948
5	0.9279670226
6	0.9200826118
7	0.9122275883
8	0.9045153108
9	0.8968882
10	0.889316355
11	0.8818368286
12	0.8744603123
13	0.867138681
14	0.859817564
15	0.8526669756
16	0.8456825685
17	0.8386284437
18	0.831585952
19	0.8246785716
20	0.8178013087
21	0.8110804022
22	0.8043299267
23	0.7976918879
24	0.7911175182
25	0.7846285341
26	0.778221932
27	0.771913606
28	0.765620245
29	0.7594059614
30	0.7532582552
31	0.7471503386
32	0.7410957764
33	0.7350726669
34	0.7290761995
35	0.7231759516
36	0.7173337975
37	0.7115805752
38	0.7058682103
39	0.7002317103
40	0.6945836136
41	0.6890800416
42	0.6835507058
43	0.6782292275
44	0.6728682255
45	0.6676637628
46	0.6623599471
47	0.6571808458
48	0.6520664712
49	0.6469949836
50	0.6419595599
51	0.6369908421
52	0.6321069306
53	0.6272320758
54	0.6224581374
55	0.6176868399
56	0.6129743845
57	0.6082921244
58	0.6036514778
59	0.5990611465
60	0.5945256623
61	0.590008205
62	0.5855860374
63	0.5812160919
64	0.5769156401
65	0.5726277804
66	0.5684166282
67	0.5642434102
68	0.5600827652
69	0.5559525354
70	0.5518894013
71	0.5478886644
72	0.5439574975
73	0.5399969142
74	0.5360943296
75	0.5322962088
76	0.5284887564
77	0.524749696
78	0.5209922633
79	0.5172884281
80	0.5136432495
81	0.5100144097
82	0.5064347162
83	0.502919644
84	0.4994342259
85	0.4959733417
86	0.4925955005
87	0.4892213007
88	0.4859091273
89	0.4826034808
90	0.4793521114
91	0.4761443232
92	0.4729521343
93	0.469784661
94	0.4666614839
95	0.4635676666
96	0.4605615147
97	0.4575636222
98	0.4545945436
99	0.4516463386
100	0.448746797
101	0.4459011645
102	0.4430436666
103	0.4402474489
104	0.4374721192
105	0.4347721943
106	0.4320695838
107	0.4294156196
108	0.4267930212
109	0.4242094452
110	0.4216497719
111	0.4191416126
112	0.4166290191
113	0.4141692507
114	0.4117141929
115	0.4092811836
116	0.4069204831
117	0.4045774214
118	0.402238264
119	0.3999751044
120	0.3977198967
121	0.3954837055
122	0.3932933056
123	0.3906291931
124	0.388099347
125	0.3854978193
126	0.3830472822
127	0.3805178089
128	0.3780431474
129	0.375630235
130	0.3731973678
131	0.3708203813
132	0.3684656591
133	0.3661562005
134	0.3638746058
135	0.3615579808
136	0.3592504855
137	0.3570065817
138	0.3548183885
139	0.3526553485
140	0.3504396135
141	0.3482438486
142	0.3462156867
143	0.344141874
144	0.3420226758
145	0.339959996
146	0.3379460518
147	0.335975518
148	0.3339848205
149	0.3320406486
150	0.3300399614
151	0.3280881276
152	0.3261605578
153	0.3242904655
154	0.3224258388
155	0.3205728136
156	0.3187666137
157	0.3169853693
158	0.3151591209
159	0.3134197248
160	0.3117123925
161	0.3100092445
162	0.3082869813
163	0.3066154183
164	0.3049723716
165	0.3031897402
166	0.3014185172
167	0.2996491824
168	0.2978667094
169	0.2961468481
170	0.2944876029
171	0.2927834566
172	0.2910959306
173	0.2894956101
174	0.2878517252
175	0.2862569218
176	0.2846878478
177	0.2831246746
178	0.2815431853
179	0.2800112117
180	0.2784566787
181	0.2769671185
182	0.2755146303
183	0.2740389559
184	0.272572565
185	0.2711536429
186	0.2697173855
187	0.2683177005
188	0.2668295559
189	0.2653806064
190	0.2639007669
191	0.2625441882
192	0.2611988278
193	0.2598230177
194	0.258423968
195	0.2570721086
196	0.2557371494
197	0.2543713445
198	0.2531188753
199	0.2517837139
200	0.2504835017
201	0.2492440475
202	0.2479677764
203	0.2467546487
204	0.2454940767
205	0.2442576632
206	0.2430438934
207	0.2418620405
208	0.2406923623
209	0.2395126062
210	0.2383592121
211	0.2372651303
212	0.2362039804
213	0.235069667
214	0.2339818232
215	0.2328944684
216	0.231807356
217	0.2307452071
218	0.2297083891
219	0.228667823
220	0.2275959238
221	0.2265835574
222	0.2255435332
223	0.2245802883
224	0.2235924872
225	0.2226535906
226	0.2216818625
227	0.220715447
228	0.2197465497
229	0.2188907503
230	0.2179461603
231	0.2170431041
232	0.2161205561
233	0.2152146313
234	0.2143076796
235	0.2134163913
236	0.2125388525
237	0.2116719108
238	0.2107852797
239	0.2099298949
240	0.2091053449
241	0.2082814056
242	0.2074755112
243	0.2066758189
244	0.2058481105
245	0.2050449463
246	0.2042684168
247	0.2035108555
248	0.2027332978
249	0.2019865121
250	0.2012760757
251	0.2005574423
252	0.1998448325
253	0.1991028153
254	0.1983675962
255	0.1976420903
256	0.1968777415
257	0.1961174898
258	0.1954148798
259	0.1946715502
260	0.1939145195
261	0.1931660518
262	0.1924300349
263	0.1916881572
264	0.1909846086
265	0.1902811402
266	0.1895976916
267	0.1889319082
268	0.1882148021
269	0.1875525348
270	0.1869405156
271	0.1862770328
272	0.1857126913
273	0.1850352988
274	0.1843745561
275	0.1837636008
276	0.1831224878
277	0.1825433708
278	0.1819807668
279	0.1813567811
280	0.1807701975
281	0.1802090572
282	0.179624588
283	0.1790618358
284	0.1785012743
285	0.1779258899
286	0.1773419935
287	0.1767837846
288	0.1762214435
289	0.1756527441
290	0.1751252919
291	0.1745938456
292	0.1740723338
293	0.1735656285
294	0.1730750801
295	0.1725379217
296	0.1720110984
297	0.1714777109
298	0.1709824345
299	0.1705289311
300	0.1700671534
301	0.1696309957
302	0.1691686864
303	0.1687442032
304	0.1682908844
305	0.1677911173
306	0.1673198694
307	0.1668651238
308	0.1663928479
309	0.1659299269
310	0.1654631669
311	0.1650079328
312	0.1645759142
313	0.1641504545
314	0.1637675467
315	0.1633516319
316	0.1629309579
317	0.1625165217
318	0.1621056175
319	0.1617119066
320	0.1612910424
321	0.1608837995
322	0.1604988983
323	0.1600790762
324	0.1596733727
325	0.1592750772
326	0.1589221191
327	0.1585418156
328	0.1581643493
329	0.1578351034
330	0.1574830982
331	0.1571118596
332	0.1567279848
333	0.1563967724
334	0.1560354522
335	0.1556814201
336	0.1553103233
337	0.1549656282
338	0.1545998889
339	0.1542605665
340	0.153912055
341	0.1535866024
342	0.1532677554
343	0.1529492081
344	0.1526132351
345	0.1523056477
346	0.1520101643
347	0.1517194361
348	0.1514374952
349	0.1511188097
350	0.1508344684
351	0.1505264164
352	0.1502013396
353	0.149928541
354	0.149643141
355	0.1493346139
356	0.1490197429
357	0.1487422245
358	0.1484739987
359	0.1482063908
360	0.1479383924
361	0.1476450096
362	0.1473541064
363	0.1470470642
364	0.1468129016
365	0.1465226504
366	0.1462617324
367	0.1459747856
368	0.1457273063
369	0.145421769
370	0.1451676061
371	0.1449116327
372	0.1446568527
373	0.1443912713
374	0.144149286
375	0.1438940976
376	0.1436873176
377	0.1434477833
378	0.143162322
379	0.1429445096
380	0.1427371256
381	0.1425379104
382	0.1422900741
383	0.1420384118
384	0.1417716195
385	0.1415485185
386	0.1413282758
387	0.1411086125
388	0.1408718532
389	0.1406416902
390	0.140454792
391	0.140255628
392	0.1400284061
393	0.139775594
394	0.1395801756
395	0.1393629188
396	0.1391583693
397	0.138938595
398	0.1387081805
399	0.138499921
400	0.1382936311
401	0.1380541458
402	0.1378539098
403	0.1376763417
404	0.1374634592
405	0.1372575689
406	0.1370720262
407	0.1368817593
408	0.1367049405
409	0.1364889944
410	0.1362660513
411	0.13604838
412	0.1358732045
413	0.1356998973
414	0.1355504043
415	0.1353162326
416	0.135152827
417	0.1349708598
418	0.13479522
419	0.1346134898
420	0.1344568711
421	0.1343033276
422	0.1341093645
423	0.1339078868
424	0.1336895768
425	0.1335007973
426	0.1333468269
427	0.1331878825
428	0.1330352495
429	0.1328626343
430	0.1326745105
431	0.132511372
432	0.1323704217
433	0.1321961001
434	0.1320542624
435	0.1318854312
436	0.1317151651
437	0.1315734959
438	0.1314459598
439	0.1313058171
440	0.1311413053
441	0.1310158701
442	0.1308835527
443	0.1307268527
444	0.1305852627
445	0.1304166099
446	0.1302469773
447	0.1300805558
448	0.1298934
449	0.129736464
450	0.1295685185
451	0.1294145272
452	0.1292772959
453	0.1291533746
454	0.1290046237
455	0.12886408
456	0.1287265972
457	0.1286302748
458	0.1284559303
459	0.1283057369
460	0.1281913269
461	0.1280223627
462	0.1278927055
463	0.1277760202
464	0.1276403605
465	0.1274637268
466	0.1273307911
467	0.1272232149
468	0.1271147588
469	0.1270067619
470	0.126863394
471	0.1267093718
472	0.1265848202
473	0.1264757412
474	0.1263702345
475	0.1262250188
476	0.1261137316
477	0.125982726
478	0.1258882947
479	0.1257694927
480	0.1256276125
481	0.1255018234
482	0.125359493
483	0.1252198208
484	0.1250935908
485	0.1249594968
486	0.1248374069
487	0.1247229294
488	0.1246349332
489	0.124541039
490	0.124442276
491	0.1243295001
492	0.1242040603
493	0.1241065335
494	0.1239995356
495	0.1238964833
496	0.1237953041
497	0.1236898146
498	0.1235904766
499	0.1234905849
500	0.1234041239
501	0.123291018
502	0.1231685221
503	0.1230816434
504	0.1229656799
505	0.1228467897
506	0.1227589922
507	0.122667385
508	0.1225394289
509	0.1224523597
510	0.1223187044
511	0.1222112535
512	0.1221337958
513	0.1220360245
514	0.1219394971
515	0.1218405403
516	0.1217227544
517	0.1216432987
518	0.1215733435
519	0.1215031114
520	0.121412811
521	0.1213089516
522	0.1212232363
523	0.1211346751
524	0.1210186883
525	0.1209390036
526	0.1208492462
527	0.1207435823
528	0.1206511069
529	0.1205453892
530	0.1204762681
531	0.1204054733
532	0.1203174478
533	0.1202552197
534	0.1201676769
535	0.120060285
536	0.1199872818
537	0.1199227349
538	0.1198577132
539	0.1197718332
540	0.1197087551
541	0.1196464798
542	0.1195607826
543	0.1194755239
544	0.1194098894
545	0.1193208083
546	0.1192405825
547	0.119161577
548	0.1190944764
549	0.1190174791
550	0.1189502331
551	0.1188810958
552	0.1188170983
553	0.1187246389
554	0.118636482
555	0.1185771978
556	0.1184998391
557	0.1184173314
558	0.1183215485
559	0.1182317158
560	0.1181824614
561	0.1180957454
562	0.1180171854
563	0.1179263339
564	0.1178421814
565	0.1177969047
566	0.1177403821
567	0.1176546543
568	0.117593773
569	0.1175258403
570	0.1174515715
571	0.1173656627
572	0.1173106798
573	0.1172261845
574	0.1171538113
575	0.1170824506
576	0.1170247545
577	0.1169829887
578	0.1169073686
579	0.1168523114
580	0.1167959907
581	0.1167113979
582	0.1166568929
583	0.1165866003
584	0.1165444364
585	0.1164689431
586	0.1163884365
587	0.1163451141
588	0.1162614768
589	0.1162106451
590	0.1161445429
591	0.1160715517
592	0.1160259389
593	0.1159524388
594	0.1158754691
595	0.1158105771
596	0.1157548833
597	0.1156774829
598	0.1156163431
599	0.1155415842
600	0.115468334
601	0.1154137161
602	0.1153473096
603	0.1152789305
604	0.115223534
605	0.1151893272
606	0.1151528587
607	0.1151177037
608	0.115063356
609	0.1150239203
610	0.1149841
611	0.1149140905
612	0.1148689678
613	0.1148137708
614	0.1147532039
615	0.1147126487
616	0.1146635285
617	0.1146023201
618	0.1145594807
619	0.1145102054
620	0.1144537616
621	0.1144139356
622	0.1143790799
623	0.114310968
624	0.1142637368
625	0.1142278683
626	0.1141763764
627	0.1141328804
628	0.1140739352
629	0.1140098066
630	0.1139753024
631	0.1139347986
632	0.1138702939
633	0.1138396051
634	0.1137969033
635	0.1137646936
636	0.113710013
637	0.1136617085
638	0.1136244721
639	0.1135709675
640	0.1135054975
641	0.1134662331
642	0.1134224544
643	0.1133772002
644	0.1133193564
645	0.1132851881
646	0.1132562096
647	0.113197873
648	0.1131616581
649	0.1131256884
650	0.1130931244
651	0.1130409385
652	0.1129846759
653	0.112929897
654	0.1128718879
655	0.1128221967
656	0.1127924408
657	0.1127650115
658	0.112719883
659	0.1126733854
660	0.1126170677
661	0.1125716827
662	0.1125314563
663	0.1124862008
664	0.1124248359
665	0.1123878306
666	0.1123546802
667	0.1123181811
668	0.1122794947
669	0.1122487784
670	0.1121953342
671	0.1121441868
672	0.1120864947
673	0.1120295637
674	0.1119962711
675	0.1119628369
676	0.1119266045
677	0.1118822586
678	0.1118318382
679	0.1117811775
680	0.1117248022
681	0.1116833446
682	0.111634397
683	0.1115908474
684	0.111548876
685	0.111520637
686	0.1114910345
687	0.1114549266
688	0.1114128232
689	0.111368368
690	0.1113296289
691	0.1112916254
692	0.1112524802
693	0.1112164966
694	0.1111813647
695	0.1111371218
696	0.1110897599
697	0.1110452609
698	0.1110044125
699	0.1109634115
700	0.1109239701
701	0.1108670034
702	0.1108336179
703	0.1108104931
704	0.1107836887
705	0.1107570784
706	0.1107126717
707	0.1106817643
708	0.1106448809
709	0.1106200792
710	0.1105779231
711	0.1105356174
712	0.1104942789
713	0.1104594774
714	0.1104338658
715	0.1103966369
716	0.1103525991
717	0.1103171688
718	0.1102918915
719	0.1102535762
720	0.1102270001
721	0.1101854936
722	0.1101456783
723	0.1101204355
724	0.1100810882
725	0.1100452228
726	0.1100082816
727	0.1099728863
728	0.1099382277
729	0.1099052292
730	0.1098743576
731	0.109857133
732	0.1098279874
733	0.109782775
734	0.1097375571
735	0.1097194942
736	0.1096801973
737	0.1096409836
738	0.109614265
739	0.1095869006
740	0.1095526314
741	0.1095237038
742	0.1094824005
743	0.109454382
744	0.109436148
745	0.109409846
746	0.1093627962
747	0.1093339451
748	0.1093024028
749	0.1092612424
750	0.1092213651
751	0.1091824026
752	0.1091456512
753	0.1091102624
754	0.109055845
755	0.1090386457
756	0.109000972
757	0.1089757711
758	0.1089393228
759	0.1088983987
760	0.1088727278
761	0.108843308
762	0.1088092265
763	0.1087936084
764	0.1087567506
765	0.1087304706
766	0.1086861542
767	0.1086492567
768	0.1086110989
769	0.1085885797
770	0.1085657819
771	0.108538164
772	0.1085179913
773	0.1084960368
774	0.1084777395
775	0.108447146
776	0.1084156412
777	0.1083944564
778	0.1083589832
779	0.1083417286
780	0.1083068176
781	0.1082821368
782	0.1082457627
783	0.1082251167
784	0.1081939225
785	0.1081627252
786	0.108121949
787	0.1080917846
788	0.108060411
789	0.108035072
790	0.1079948779
791	0.1079608943
792	0.1079329606
793	0.1079048212
794	0.1078790472
795	0.1078528268
796	0.1078260263
797	0.1077995644
798	0.1077718221
799	0.1077395048
800	0.1077047842
801	0.1076596183
802	0.1076330445
803	0.1076154696
804	0.107564879
805	0.1075401124
806	0.1075139277
807	0.1074711695
808	0.1074397753
809	0.1074128193
810	0.107400778
811	0.1073861642
812	0.1073496823
813	0.1073264878
814	0.1072842076
815	0.1072599105
816	0.1072422576
817	0.1072258699
818	0.1072065857
819	0.1071892323
820	0.1071697947
821	0.1071513665
822	0.1071334291
823	0.1071137938
824	0.1070918061
825	0.1070761229
826	0.1070480642
827	0.1070290424
828	0.107010813
829	0.1069836185
830	0.1069504223
831	0.1069264264
832	0.1069004037
833	0.1068805003
834	0.1068553104
835	0.1068310553
836	0.106813814
837	0.1067996726
838	0.1067839099
839	0.1067672065
840	0.1067465383
841	0.1067094406
842	0.1066906523
843	0.1066790219
844	0.1066446378
845	0.1066146809
846	0.1065842598
847	0.1065621954
848	0.1065543335
849	0.1065282256
850	0.1065036998
851	0.1064683753
852	0.1064553337
853	0.1064333548
854	0.1064015568
855	0.1063798547
856	0.1063479934
857	0.1063351966
858	0.1062963766
859	0.1062681146
860	0.106252954
861	0.1062431566
862	0.106228097
863	0.1062141453
864	0.1061800187
865	0.1061483383
866	0.1061176903
867	0.1061089143
868	0.1060946877
869	0.1060736124
870	0.1060683941
871	0.1060488604
872	0.1060344537
873	0.1060178439
