iter	Passed	Remaining
0	38	386827
1	63	316698
2	85	286247
3	110	277003
4	133	266531
5	157	261933
6	180	258099
7	207	258903
8	232	258097
9	258	257992
10	283	257392
11	309	257252
12	334	256860
13	359	256183
14	385	256852
15	410	256136
16	434	255343
17	460	255523
18	485	255042
19	513	256387
20	540	256802
21	566	256825
22	591	256514
23	615	255848
24	641	255882
25	665	255408
26	691	255458
27	716	255068
28	741	255079
29	767	254963
30	794	255423
31	821	255895
32	845	255346
33	870	255157
34	894	254715
35	921	254913
36	945	254529
37	970	254330
38	995	254357
39	1021	254240
40	1046	254158
41	1073	254482
42	1099	254623
43	1125	254629
44	1150	254446
45	1175	254339
46	1200	254133
47	1225	254052
48	1250	253924
49	1276	254013
50	1333	260189
51	1358	259884
52	1384	259764
53	1419	261370
54	1453	262770
55	1479	262745
56	1507	262931
57	1534	262990
58	1568	264308
59	1594	264102
60	1619	263854
61	1644	263584
62	1669	263349
63	1695	263159
64	1721	263070
65	1747	263010
66	1772	262732
67	1797	262521
68	1836	264312
69	1860	263994
70	1887	263898
71	1913	263815
72	1937	263459
73	1962	263197
74	1988	263091
75	2013	262904
76	2037	262606
77	2062	262384
78	2090	262520
79	2115	262295
80	2139	262013
81	2164	261759
82	2189	261591
83	2214	261420
84	2239	261263
85	2267	261349
86	2293	261282
87	2318	261117
88	2342	260902
89	2368	260821
90	2394	260683
91	2418	260491
92	2444	260420
93	2469	260253
94	2497	260404
95	2525	260567
96	2551	260490
97	2576	260338
98	2601	260143
99	2626	260039
100	2653	260055
101	2678	259921
102	2703	259817
103	2729	259715
104	2755	259707
105	2781	259630
106	2809	259725
107	2839	260050
108	2863	259863
109	2888	259720
110	2914	259624
111	2939	259502
112	2963	259328
113	2988	259167
114	3014	259093
115	3037	258857
116	3062	258700
117	3091	258886
118	3116	258758
119	3141	258636
120	3166	258550
121	3192	258457
122	3216	258321
123	3242	258232
124	3266	258080
125	3291	257954
126	3316	257856
127	3342	257762
128	3366	257615
129	3390	257439
130	3415	257339
131	3440	257180
132	3464	257026
133	3490	257009
134	3517	257049
135	3541	256867
136	3567	256821
137	3591	256638
138	3616	256559
139	3641	256461
140	3683	257558
141	3708	257456
142	3734	257407
143	3759	257286
144	3784	257207
145	3809	257083
146	3835	257071
147	3859	256923
148	3887	256995
149	3912	256950
150	3943	257221
151	3967	257040
152	3991	256903
153	4016	256790
154	4040	256665
155	4067	256645
156	4092	256602
157	4117	256456
158	4141	256340
159	4165	256192
160	4191	256155
161	4216	256072
162	4240	255909
163	4265	255826
164	4290	255766
165	4315	255665
166	4341	255639
167	4366	255530
168	4391	255455
169	4415	255331
170	4440	255258
171	4465	255129
172	4490	255064
173	4518	255169
174	4543	255103
175	4568	254994
176	4593	254924
177	4617	254814
178	4643	254778
179	4667	254658
180	4690	254463
181	4714	254349
182	4738	254179
183	4763	254111
184	4787	254005
185	4813	253965
186	4842	254132
187	4866	254010
188	4890	253870
189	4916	253840
190	4940	253733
191	4965	253643
192	4990	253562
193	5014	253478
194	5038	253358
195	5063	253278
196	5088	253190
197	5113	253133
198	5137	253041
199	5166	253141
200	5189	253013
201	5214	252933
202	5238	252832
203	5262	252689
204	5287	252649
205	5311	252513
206	5336	252448
207	5360	252341
208	5384	252244
209	5408	252158
210	5433	252083
211	5457	251952
212	5482	251915
213	5513	252136
214	5537	252035
215	5561	251935
216	5586	251842
217	5611	251811
218	5636	251721
219	5660	251648
220	5683	251498
221	5708	251428
222	5732	251321
223	5756	251242
224	5781	251180
225	5806	251104
226	5831	251075
227	5857	251052
228	5884	251060
229	5909	251009
230	5933	250922
231	5957	250832
232	5982	250760
233	6006	250688
234	6031	250611
235	6055	250540
236	6080	250500
237	6105	250444
238	6130	250382
